성과연도,성과고유번호,성과구분,성과명,전담기관 등록(기탁)번호,저널명 OR 성과명(영문) 등,저자 OR 저작자 등,IPC OR 등록기관 등,국내외구분 OR 제조사 등,초록(국문),초록(영문),키워드,유발과제명,과제고유번호,부처명,과제수행기관,연구수행주체,6T분류,과학기술표준분류,연구개발단계,정부연구비,총연구비,당해연구시작일,당해연구종료일
2013,PTO-2013-0025651049,특허,가자 추출물과 지유 추출물을 유효성분으로 포함하는 비브리오 패혈증 개선용 조성물,10-2013-0013764,nan,동신대학교산학협력단;,"A61K 36/185,A61K 36/739,A61K 39/02,A61P 43/00",대한민국,nan,nan,nan,Vibrio vulnificus 주독소 RTX의 급성 세포독성 제어 연구,9991002592,교육부,동신대학교,대학,바이오신약 개발기술,미생물/기생생물학,기초연구,46800000,46800000,20130901,20140831
2013,PTO-2013-0025661122,특허,MAX2-LRR 도메인 단백질 또는 이를 코딩하는 유전자를 포함하는 식물체의 유효 번식성 줄기 형성 촉진용 조성물,10-2013-0046341,nan,포항공과대학교 산학협력단;,"A01N 63/10,C07K 14/415,C12N 15/82",대한민국,nan,nan,nan,바이오매스 생산을 위한 에너지 분배 규명,1711001672,미래창조과학부,포항공과대학교,대학,바이오에너지 기술,분자세포 생물학,기초연구,300000000,300000000,20130901,20140831
2013,PTO-2013-0025719138,특허,프라이버시 영역의 마스킹 및 복원 방법,10-2013-0106167,nan,엠엠피씨㈜;,"H04N 1/387,H04N 21/2347",대한민국,nan,nan,nan,LLA소자를 이용한 Multi-function HFD 정보표시장치 개발,1415134079,산업통상자원부,㈜아이디,중소기업,차세대디스플레이기술,디스플레이 부품/소재,응용연구,100000000,133783783,20130625,20131231
2013,PTO-2013-0025704036,특허,신호의 전송 지연 시간 차를 이용한 공간 필터링 장치 및 방법,10-2013-0124414,nan,한국전자통신연구원;,"H04B 7/10,H04W 8/00,H04W 76/02",대한민국,nan,nan,nan,가시거리 대상 시선통신 및 스마트 모바일 커넥션 기술개발,1711006085,미래창조과학부,한국전자통신연구원,출연연구소,4세대 이동통신,이동통신,응용연구,2000000000,2000000000,20130301,20140228
2013,PTO-2013-0025694137,특허,대륙철도차량용 윤축의 결합구조,10-2013-0020995,nan,한국철도기술연구원;,B60B 37/04,대한민국,nan,nan,nan,남북 및 대륙철도의 실용주의적 진출을 위한 상호연계기술 개발,1711007084,미래창조과학부,한국철도기술연구원,출연연구소,위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구,철도교통기술,응용연구,1500000000,1500000000,20130101,20131231
2013,PTO-2013-0025581533,특허,크라운 지지부를 갖는 자가 치아 이식재의 가공방법,10-2013-0015673,nan,티비엠주식회사;,A61L 27/36,대한민국,nan,nan,nan,자기 치아 등을 이용한 임플란트용 환자맞춤 골이식재의 기술사업화,1415126688,지식경제부,티비엠 주식회사,중소기업,의과학·의공학 기술,기타 보건의료,개발연구,190000000,254000000,20120601,20130531
2013,PTO-2013-0025462525,특허,지상파 클라우드 방송에서 다중 방송신호 분리를 위한 송수신 장치 및 방법,10-2013-0046437,nan,한국전자통신연구원;,"H04N 7/08,H04N 7/167,H03K 19/21",대한민국,nan,nan,nan,DTV를 활용한 Wake-up 긴급경보 방송시스템 기술개발,1711006630,미래창조과학부,한국전자통신연구원,출연연구소,기타 정보기술,디지털방송 서비스,개발연구,848000000,1131800000,20130301,20140228
2013,PTO-2013-0025462626,특허,손동작 기반 가상 마우스 제어장치 및 그 방법,10-2013-0082919,nan,전자부품연구원;,"G06F 3/03,G06F 3/01",대한민국,nan,nan,nan,UX 기반 스마트TV 환경인지 기술 개발,1711006636,미래창조과학부,전자부품연구원,기타,신호처리기술(영상·음성처리·인식·합성),정보이론,개발연구,800000000,1066670000,20130301,20140228
2013,PTO-2013-0025462651,특허,열차제어 시뮬레이션 시스템,10-2013-0044519,nan,한국철도기술연구원;,"B61L 27/00,B61L 15/00,B61C 17/12,G05B 17/00,B61L 5/00,B61L 7/00,B61L 29/08,B61L 27/00",대한민국,nan,nan,nan,ICT기반 열차운행 안전성 및 운영 효율성 향상 기술 개발,1711006087,미래창조과학부,한국철도기술연구원,출연연구소,위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구,철도신호통신기술,개발연구,2000000000,2001408887,20130101,20131231
2013,PTO-2013-0025456671,특허,에탄올 생산 경로가 봉쇄된 클루이베로마이세스 막시아누스 균주 및 이의 용도,10-2013-0074023,nan,한국생명공학연구원;,"C12N 1/19,C12N 15/60",대한민국,nan,nan,nan,Cellulose-based Biofuel 생산효율 향상을 위한 합성생물학 기술개발,1711006335,미래창조과학부,한국생명공학연구원,출연연구소,유전자 변형 생물체 개발기술,생물공정,기초연구,500000000,500000000,20130101,20131214
2013,PTO-2013-0025461247,특허,"다종 리소스들의 의미기반 시차 조정 방법, 다종 리소스들의 의미기반 시차 조정 장치 및 다종 리소스들의 의미기반 시차를 조정하는 프로그램을 저장하는 저장 매체",10-2013-0117694,nan,한국과학기술정보연구원;,G06F 17/30,대한민국,nan,nan,nan,과학기술 문헌 빅데이터 분석·활용 플랫폼 기술 개발,1711005735,미래창조과학부,한국과학기술정보연구원,출연연구소,기타 정보처리시스템 및 S/W 기술,소프트웨어,기초연구,2669000000,2669000000,20130101,20131231
2013,PTO-2013-0025652827,특허,전기방사된 젤라틴/BCP와 키토산 하이드로젤 조성의 골 지혈제 제조방법,10-2013-0070225,nan,순천향대학교 산학협력단;,"A61K 31/722,A61K 47/42,A61K 9/06",대한민국,nan,nan,nan,생체 모방 인공 해면골 및 치밀골 개발 연구,1711001091,미래창조과학부,순천향대학교,대학,"나노소재기술(나노분말소재, 광학용 나노소재, 고기능 시너지 소재, 촉매·환경·기능소재에 중점)",세라믹재료,응용연구,408000000,408000000,20130901,20140831
2013,PTO-2013-0025698348,특허,요홈 형상의 오일 저장소를 내주면에 구비한 슬라이딩 베어링의 제작 방법,10-2013-0098785,nan,(주)티엠시;,F16C 33/10,대한민국,nan,nan,nan,Pressing 공법을 이용한 건설기계용 철계 Embossing bush 개발,1415133224,산업통상자원부,(주)티엠시,중소기업,위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구,건설/광산기계,개발연구,160000000,213500000,20130601,20140531
2013,PTO-2013-0025676115,특허,리튬 이온전지용 Mo-Si-P계 음극 활물질 및 그 제조 방법,10-2013-0140314,nan,한국전기연구원;,"H01M 4/58,H01M 4/38,H01M 4/136,H01M 10/0525",대한민국,nan,nan,nan,중대형 이차 전지용  Intercalation 이 가능한 고용량 신규 음극 소재 개발,1345169762,교육과학기술부,한국전기연구원,출연연구소,에너지소재 기술,금속재료,기초연구,320000000,320000000,20121230,20131229
