성과연도,성과고유번호,성과구분,성과명,전담기관 등록(기탁)번호,저널명 OR 성과명(영문) 등,저자 OR 저작자 등,IPC OR 등록기관 등,국내외구분 OR 제조사 등,초록(국문),초록(영문),키워드,유발과제명,과제고유번호,부처명,과제수행기관,연구수행주체,6T분류,과학기술표준분류
2013,PTR-2013-0025493728,특허,주기 구조물의 비파괴 검사 방법,10-1229125-0000,nan,경희대학교산학협력단;,"G01N 21/84,G01N 21/956,G01N 21/55,G01N 21/59,G06F 17/11",대한민국,nan,nan,nan,나노구조체의 비파괴 분석법 개발,1345212301,교육부,경희대학교,대학,나노 측정기술(100 nm이하),응집물질물리
2013,PTR-2013-0025496899,특허,"형상기억소재로 된 토션 발생 구동기, 이를 구비한 링크 관절 구조 및 링크 기구",10-1258738-0000,nan,서울대학교 산학협력단;,"B25J 9/10,F03G 7/06,B25J 17/02",대한민국,nan,nan,nan,멀티 스케일 다중 전개형 협업 로봇의 설계 및 생산 기술 개발,1345200932,미래창조과학부,서울대학교,대학,위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구,로봇 설계기술
2013,PTO-2013-0025496916,특허,피동안전설비 및 이를 구비하는 원전,10-2013-0118741,nan,한국원자력연구원;,"G21C 15/18,G21C 1/08",대한민국,nan,nan,nan,SMART 안전성 향상을 위한 유체계통 연구,1711004600,미래창조과학부,한국원자력연구원,출연연구소,위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구,유체계통 설계기술
2013,PTO-2013-0025493411,특허,THREE-DIMENSIONAL ELECTRODE ON DYE-SENSITIZED SOLAR CELL AND METHOD FOR MANUFACTURING THE SAME,13/909702,nan,서울대학교산학협력단;,nan,미국,nan,nan,nan,에너지환경 화학융합기술,1345212239,교육부,서울대학교,대학,나노 신기능 분자합성기술,유기화학
2013,PTR-2013-0025493404,특허,잉크젯 프린팅을 이용한 그래핀 전극 제조 방법,10-1251216-0000,nan,서울대학교산학협력단;,"H04R 17/00,H04R 31/00,H01L 41/047,H04R 1/06,B06B 1/06",대한민국,nan,nan,nan,에너지환경 화학융합기술,1345212239,교육부,서울대학교,대학,나노 신기능 분자합성기술,유기화학
2013,PTR-2013-0025493401,특허,비정질상 음극활물질 및 이를 이용한 전극의 제조방법 및 이를 포함하는 리튬이차전지,10-1237563-0000,nan,서울대학교산학협력단;,"H01M 4/48,H01M 4/04,H01M 10/05",대한민국,nan,nan,nan,에너지환경 화학융합기술,1345212239,교육부,서울대학교,대학,나노 신기능 분자합성기술,유기화학
2013,PTO-2013-0025496950,특허,BPSK 변조 시스템 기반 적응 블랭커를 이용한 비선형 잡음 제거 장치 및 방법,10-2013-0157790,nan,"한국전자통신연구원, 한양대학교;","H04L 27/18,H04B 1/10",대한민국,nan,nan,nan,ISM대역에서 기기들의 효율적인 공존을 위한 시스템 설계에 관한 연구,1711008144,미래창조과학부,한양대학교(ERICA캠퍼스),대학,기타 정보통신 부품기술,이동통신 시스템
2013,PTR-2013-0025496923,특허,생체모방형 모멘트 방향 전환 래치 및 이를 이용한 소형 도약 로봇 다리,10-1258755-0000,nan,서울대학교 산학협력단;,"B62D 57/032,B25J 9/16,B25J 19/00,B25J 9/10",대한민국,nan,nan,nan,멀티 스케일 다중 전개형 협업 로봇의 설계 및 생산 기술 개발,1345200932,미래창조과학부,서울대학교,대학,위의 미래유망신기술(6T) 103개 세분류에 속하지 않는 기타 연구,로봇 설계기술
2013,PTO-2013-0025493968,특허,배관 감육 검사장치 및 검사방법,10-2013-0168727,nan,한국원자력연구원;,"G01B 17/02,G01N 29/14",대한민국,nan,nan,nan,원자력계통 건전성 선진화 체계 구축,1711007547,미래창조과학부,한국원자력연구원,출연연구소,에너지소재 기술,핵연료/원자력소재
2013,PTO-2013-0025496955,특허,"시료 중 상피-중간엽 전환된 종양 세포를 확인하기 위한 정보를 얻는 방법, 시료 중 상피-중간엽 전환된 종양 세포를 확인하는 방법, 개체가 종양에 걸렸는지를 효율적으로 진단하는 방법, 및 시료 중 상피-중간엽 전환된 종양 세포를 확인하는데 사용하기 위한 조성물 또는 키트",10-2013-0117594,nan,아주대학교 산학협력단;,"G01N 33/574,G01N 33/573,C12Q 1/68",대한민국,nan,nan,nan,유방암세포에서 Epithelial to Mesenchymal Transition 의 분자적 특성 분석을 기반으로 한 순환종양세포의 연구,1345212931,교육부,아주대학교,대학,기타 보건의료 관련 응용기술,의생명과학
